Customer ID,Interested in sustainable range,Gender,Age,"TikTok user, at least weekly",Prefer to eat vegan food,Occupation: Director / Managerial,Occupation: Office Worker,Occupation: Professional,Occupation: Retired,Occupation: Service Sector,Occupation: Skilled / Manual Worker,Occupation: Student,Occupation: Unemployed,Highest qualification achieved: GCSE or equivalent,Highest qualification achieved: A-level or equivalent,Highest qualification achieved: university degree or higher,Interests : antiques or fine art,Interests : meditation / mindfulness,Magazines read : celebrity,Has recently switched current account,Internet: moderate user,Internet: frequent user,"Uses Netflix, at least once a week","Facebook user, at least weekly","LinkedIn user, at least weekly","Snapchat user, at least weekly",I love to buy new gadgets and appliances,If an advert on the Internet looks interesting I will click on it,Watches catch-up TV / VoD with ads at least once a week,Watches ITV,Watches Channel 4,Watches Channel 5,Watches Sky 1,Watches Sky Atlantic,Takes own re-usable cup to a coffee shop/cafe,I prefer not to shop in major high street chains,I look for the lowest possible prices when I go shopping,I think more favourably of companies that sponsor events,I only buy products from a company whose ethics I agree with,Has bought something after seeing an ad on the internet in the past 12 months,Has bought something after seeing an email ad in the past 12 months,Has a current account with a neo challenger bank,Car shares journey to work,Interests : vegetarian products,Celebrities influence my purchase decisions,Tends to use a refillable water bottle most days,Internet: light user,Children at home : 0,Children at home : 1,Children at home : 2,Children at home : 3+
1049,1,M,25-34,31.6,22.1,4.3,11.7,36.5,0,21.9,11.1,3.9,2.7,17.5,34.2,42.4,15.9,5.6,8.2,4.9,50.9,48.2,67.5,82,22.5,57.5,45.7,49.4,73.4,69.5,50,34,20.5,15.8,18.1,24.1,70.3,35.5,48.6,24.8,16.2,8.4,12.8,25.6,27.8,64.9,0.6,41.5,29,20.6,8.9
1226,0,F,55-64,6.36,10.96,9.98,8.89,23.51,0.97,13.05,9.18,2.8,1.18,17.01,39.66,39.44,29.99,7.58,1.43,4.34,29.19,67.05,42.01,72.08,9.18,13.82,27.91,30.84,64.72,78.76,65.57,48.67,15.28,16.62,19.8,26.91,59.29,19.95,38.15,20.05,15.95,2.7,3,30.66,5.06,58.99,1.85,76.17,10.55,10.07,3.22
1354,0,M,65-74,0.96,3.24,3.94,1.15,7.22,80.03,1.31,5.15,0.84,0.07,14.87,42.29,32.46,23.28,2.3,0.39,2.04,49.66,39.5,17.53,45.27,5.09,1.42,28.01,17.53,50.33,86.04,75.48,54.13,23.35,18.44,10.21,16.9,36.73,14.91,26.4,18.42,13.02,0.84,0.66,7.07,1.37,33.12,5.93,97.72,1.62,0.58,0.09
1493,0,F,18-24,31.18,18.54,2.56,6.21,17.88,0.01,19.57,4.14,35.15,1.2,10.43,66.01,22.38,12.01,10.27,2.99,6.16,25.17,74.63,72.14,78.11,22.9,79.68,52.68,39.29,69.16,65.33,53.9,33.4,19.41,15.25,19.36,18.74,71.87,28.58,50.61,24.99,14.47,20.06,6.61,30.14,15.17,72.07,0.19,52.12,25.1,19.69,3.1
1523,1,F,18-24,34.7,21.9,1.2,7.7,12.3,0,21.9,6.6,37.3,4.1,9.7,64.4,23.6,13,9.1,4.6,5.6,33.7,66.2,71.3,79.5,22.3,83.7,49.1,46,69.4,44.5,34.2,20.3,10.6,7.2,17.6,23.7,73.8,33.8,52.3,21.3,9.9,18.3,3.7,33.1,21.3,71,0.1,30.8,27.1,32.4,9.6
1545,1,M,25-34,34.6,22.3,8.4,6.2,36.2,0,11.8,20.4,7.3,4.3,9.9,39.6,47.2,11.8,5.4,3.8,5.4,57.5,41,69.7,75.6,36.8,51.7,61.4,45.5,72.6,55.1,39,31.5,22,15.1,18.6,21.7,64.3,39.8,46.9,30.4,16.4,10.4,7,24.4,20.1,56.9,1.1,13.1,12.7,32.2,42
1683,1,M,25-34,49.1,18.6,4.4,17.8,31.7,0,20,6.3,6.5,3.5,11.4,33.5,50.3,17.6,9.7,5.9,4.8,57.9,40.4,69.3,77,32.5,64.9,46.6,58.6,67.9,62.8,41.6,27.6,17.8,14.9,26,22.6,69,44.7,54.4,23.7,12.9,11,4.3,27.5,17,70.9,1.1,57.4,27.8,9,5.8
1737,1,F,35-44,24.5,12.4,5.9,9.8,33.2,0,18.5,18.6,1.4,2.5,22.8,38.7,29.8,16.1,7.1,5.4,3.3,60.3,37,55.4,77.2,15,41.4,37.7,49,65.3,77.9,56.4,44.6,30.2,21.4,15.8,19.6,66.2,32.4,40.6,21.2,14.2,1.8,9.7,23.5,11.3,59.5,1.1,16.8,24.9,34.1,24.1
1834,1,M,35-44,14.4,12.5,2.8,11.6,24.8,0,19.8,21.2,1.8,3,18.6,50.1,19.9,16.5,6.9,6.1,3.4,57.9,39.9,55.2,78.8,12.6,36.9,39.1,46.4,71.6,70,50,39.6,33.7,24.7,14.1,17.5,66.3,30.2,39.8,21.3,11.9,1.8,6.7,20.3,9.9,59.3,1.7,24.9,28,28.3,18.7
1869,0,O,18-24,14.85,15.51,3.96,13.8,27.44,0.08,15.55,7.42,9.38,2.28,12.83,41.7,42.3,19.84,6.62,4.81,4.72,45.65,50.87,55.01,76.44,15.24,43.47,39.31,39.33,64.67,73.9,57.41,40.24,21.05,15.83,18,18.91,63.35,27.35,41.34,21.59,14.31,7.13,5.02,25.31,12.51,61.44,1.38,18.41,39.26,30.65,11.68
2022,0,F,18-24,42.48,31.15,0.54,2.41,6.12,0,18.43,6.02,39.75,3.82,24.62,61.53,6.18,7.61,4.89,6.19,5.06,54.92,44.55,69,80.99,10.31,86.07,54.19,53.23,63.38,30.51,36.57,25.5,17.84,10.45,10.61,23.38,74.18,32.55,47.56,21.55,11.16,3.75,6.29,33.53,20,59.05,0.26,32.55,44.16,16.86,6.42
2044,1,M,35-44,24.7,12.2,3.3,8.4,24.6,0,24.2,20.4,1.7,3.3,28,40.3,18.5,13.8,5.5,5.5,3.1,63,34.4,55.7,76.5,13.8,40,41.2,48.6,67.9,71.8,49.6,42.1,33.3,23.7,14.5,20.7,66.9,29.5,42.1,20.2,13.6,1.7,13.6,21.9,10.1,56.6,1.3,10.9,17.4,35.3,36.4
2180,1,O,18-24,27.3,25.4,3.3,5.1,25.6,0,14.3,1.8,35.5,0.8,3.7,52.5,43.4,12.7,10.2,3.6,6.6,24.4,75.4,71.6,79.6,17.9,83.4,54.8,42.6,69.2,65.4,63.1,32.4,20.8,17.4,27,19.4,69.5,28.6,49,29.3,19.9,19.1,5.3,35.6,19.8,74.7,0.2,35.8,16.8,36.6,10.9
2286,0,M,75+,0.78,3.03,0.92,0.94,2.89,81.99,1.39,1.15,1.16,0.11,30.89,33.24,10.25,21.91,4.34,1.59,1.32,28.67,10.91,9.28,27.98,1.64,1.08,15.6,10.38,22.65,84.64,59.13,52.09,14.24,10.73,9,15.4,39.38,13.56,28.58,5.38,3.8,0.76,0.46,10.06,1.95,37.67,5.72,93.07,3.42,2.57,0.94
2323,0,F,45-54,10.29,9.36,9.93,5.61,22.96,1.05,7.83,38.52,1.51,5.96,22.41,40.48,27.91,18.64,3,1.16,3.01,42.4,54.89,45.64,62.46,18.57,18.91,43.61,32.82,64.93,72.91,57.58,45.06,24.56,19.07,10.23,25.94,57.33,25.04,35.22,23.42,13.92,3.65,6.21,13.92,7.21,39.06,1.47,66.45,15.24,15.25,3.06
2485,0,F,45-54,7.82,8.37,6.93,5.25,22.04,3.81,7.25,33.1,1.42,8.55,25.95,40.18,22.61,18.3,2.17,1.08,4.51,44.59,51.8,38.88,56.53,14.61,11.94,39.69,31.25,65.16,82.71,59.04,46.65,29.29,21.87,9.57,20.68,52.97,22.14,33.7,22.23,13.27,2.68,5.82,11.38,8.85,37.01,1.62,30.67,27.28,32.14,9.92
2515,1,M,45-54,6.7,8,7.7,15.1,36.4,0.1,15,9.5,0.2,2.1,22.5,39,35.2,23.1,6.9,3.3,3.4,54.7,43.8,45.6,68.6,10.8,16.2,30.9,33.5,69.4,87.7,75.6,54.6,30.9,26.3,16.7,13.6,58.3,18.4,35.7,20.7,15.5,2.3,7.7,17.7,4.5,56.1,1.2,13.6,30,44.7,11.8
2566,1,O,18-24,42.3,12.1,1.2,2.4,10.2,0,19.2,21.8,34.1,8,21.1,64.7,7.6,7.7,3.2,2,6.5,38.7,60.9,71.5,73.3,28.5,80.7,60.7,43.3,66,62.4,35.1,25.4,25.5,14.7,12.3,21.9,68.5,37,47.1,25.2,11,7.9,10.1,17.3,21.4,54.6,0.4,13,22.6,47.7,16.8
2570,1,M,45-54,6.9,15.4,21.6,4.9,53.1,0.2,2.6,12,0.2,1.9,8.9,26.3,64.2,24.6,4.9,2.3,4.8,38.7,60.4,48.7,67.4,20.1,11.5,47.7,33.1,62.1,83.4,68.2,48.3,30.6,25.8,26,18.5,50.1,22.7,32.7,30.3,24.6,5.8,7.3,22.6,11.3,52.9,0.5,49.6,21.1,22.5,6.8
2755,0,F,18-24,20.76,26.51,15.01,4.67,30.34,0.87,5.51,12.41,11.71,5.28,9.17,33.35,54.61,15.79,5.54,3.37,4.13,49.99,46.19,50.38,57.25,32.81,28.22,49.55,41.88,64.47,54.52,43.8,33.53,20.8,16.2,16.82,21.15,51.64,33.11,41.24,25.79,14.62,5.27,7.47,34.63,14.45,49.48,1.17,55.49,15.59,19.94,8.98
2975,0,F,55-64,8.11,9.03,16.3,4.1,32.96,14.09,3.39,11.08,7.92,2.84,10.03,33.6,53.81,19.75,3.26,0.99,4.66,46.32,51.09,39.3,57.68,16.03,12.48,37.84,29.65,64.65,80.04,71.58,45.13,23.31,18.93,14.53,19.28,49.34,20.97,33.41,25.4,16.42,4.4,4.51,17.72,5.22,43.61,1.27,76.67,10.97,9.96,2.4
2978,1,M,75+,0.9,2.2,1.9,0.4,2.7,91.7,0.2,0.9,1.8,0,17.8,38.5,32.3,21.1,2.3,0.4,1.3,51.4,31.5,16.6,41.1,5.9,1,19.3,14.9,48.9,85.1,61.4,46,17.4,10.3,8.9,14.1,31.6,13.5,27.4,13.5,9.2,0.4,0.3,7.7,1.7,25.2,5.5,98.6,0.9,0.4,0.1
3197,1,M,45-54,4.6,6,3.8,13.4,33.8,0.1,17.1,20.5,0.1,2.2,26.7,48,16.5,20.4,6.9,5.2,1.6,60.9,30.3,43.2,68.9,7.4,16.3,26.9,34.9,64.7,83.9,57.5,46.1,37.6,29.7,12.5,16.6,57.2,18.4,32.6,19.1,13.5,0.7,10.1,17.7,3.8,54.1,4.9,33.7,24.5,30,11.8
3346,1,M,35-44,16.9,24.5,10.6,13.3,49.4,0,10.1,5.3,2.2,0.9,7.1,27.8,64.2,25,11.7,5.4,5.9,33.8,65.7,56.8,78.4,16.3,28.5,40.1,42,71.9,70.5,57.2,38.7,23.9,21.4,31.7,19.8,65.7,28.1,41.9,24.8,16.6,10.2,8.7,40.4,15,70.6,0.3,41.8,16.6,28.8,12.8
3389,0,O,18-24,10.51,9.21,10.59,5.59,29.26,5.47,5.29,16.54,9.87,4.45,13.82,40.07,42.7,16.97,2.75,1.02,4.72,38.28,60.02,45.89,63.22,19.89,19.94,48.63,31.2,64.26,82.78,70.35,47.99,29.33,21.52,14.39,17.56,54.38,25.29,36.37,24.14,15.21,6.68,5.13,10.77,8.98,43.53,1.04,50.66,18.58,25.42,5.34
3430,1,F,25-34,41.1,55.8,13.2,9.3,47,0,8.4,2.2,8.5,1.2,3.6,19.4,76.4,20.6,15.8,14.8,6.6,46.1,53.7,70.9,77.8,33.9,59.3,49.9,56.6,73.7,40.8,34.7,23.9,12.7,11.8,32.9,26,65.1,43,53.9,25.6,16.5,18.1,9.6,63.1,34.3,75,0.1,60,20.9,15.9,3.2
3508,1,M,35-44,19,25,5.3,11.2,32.2,0,20.2,11.5,1.6,3.3,16.8,37.3,40.2,15.1,6.6,10.4,3.6,67,30.3,57.1,76.9,13.4,36.4,41.9,46.3,73.2,74.6,45,42.4,24.3,18,17.9,20.8,59.7,28.1,41.6,21.1,16.9,2.8,13,32.5,29.2,59.7,1.4,10.1,14.3,33.6,42
3784,0,M,75+,13.89,10.2,5.09,2.77,15.42,1.7,5.43,18.36,27.58,16.95,19.64,46.22,25.6,13.98,3.56,1.84,3.33,38.91,33.89,34.46,52.83,9.68,19.42,49.72,30.33,44.62,62.93,46.71,36.13,11.31,11.48,13.08,21.79,60.81,28.92,36.34,18.16,8.2,1.87,5.1,15.99,9.89,48.58,2.32,80.68,5.76,5.26,8.3
3815,1,M,35-44,14.3,12.4,3.6,10.3,31.7,0,21.1,18.2,1.2,2.8,19.6,44.3,25.4,17.1,6.8,7.1,2.4,62.4,34.2,57.3,78.1,13.3,36.5,36.1,45.3,71.3,75.2,50.7,39.5,31.7,24.1,16,20,66.1,28.1,40.1,21.8,13.6,1.7,8.9,21.7,12.5,59.5,2.4,30.7,28,30,11.3
3864,0,M,35-44,27.39,33.4,17.97,6.7,36.62,0.21,4.9,18.27,6.16,6.16,8.23,28.06,61.21,21.8,3.88,2.72,5.25,28.51,69.55,53.84,65.53,44.65,31.77,54.55,44.18,66.2,61.72,46.3,28.36,15.52,13.66,22.27,30.88,56.56,36.64,47.7,24.54,16.09,13.16,7.57,27.34,40.65,55.69,0.49,70.57,14.02,9.92,5.49
3900,1,M,25-34,35.2,17,3.6,9.1,30.1,0,21.2,18.6,4.1,2.8,25.4,39.3,25.9,12.7,5.7,7.8,4.9,43.6,55.3,67.8,82.2,18.1,61,48.9,53.8,68,68,45.7,37.7,24,17,12.8,25.6,69.5,37.5,47.2,23,15.6,3.8,10,20,22.5,61,0.6,25.8,30.9,30,13.3
3995,1,O,18-24,38.5,14.2,0.4,3.7,6.6,0,19.7,8.3,37.4,5.6,25.9,61.6,4.8,7.5,5.6,8.1,3.8,46.7,52.4,69,81.1,11.2,85.5,51.9,53.2,60.7,66.3,37,31.5,22.2,12.6,10,18.7,72.5,34.7,46.6,21.1,10.1,3.5,6.3,16.7,27.1,60.7,0.4,28.3,25.7,29.8,16.2
4100,1,M,18-24,42.2,16.4,0.5,2.9,6.6,0,18,6.8,41.7,4.5,20.5,65.7,6.2,8.3,6,5.5,3.7,55.2,43.8,69.2,80.8,13.9,86.2,50.5,51.1,60.7,63.6,39.7,29,20.7,13.2,12.8,20.3,73.6,35.5,47.2,21.5,10.4,3.8,7.2,22.7,21.9,65.4,0.4,18.9,18.6,27,35.4
4229,1,O,65-74,1.2,2.9,2.6,1.1,4.9,81,1.8,7.4,0.5,0.1,28.9,37.4,15.3,22.2,1.7,0.4,2.9,48.4,43.2,17.8,44.2,5,1.2,28.7,17.1,50.7,87.6,69.9,57.1,29.9,21.2,7.6,16.8,37.7,13.7,25.2,16.7,8.6,1.1,1.2,5.5,1.8,29.8,4.2,93.3,4.1,2.3,0.3
4347,1,F,35-44,16.8,11.2,3,8.2,22.2,0,24.5,19.5,1.3,4.3,31.8,40.2,15.5,14.3,6.1,4.4,4.4,61.4,37.1,57,78,13.5,38,41,45.6,70.3,80.6,56.8,48.2,32.3,21.8,14.8,17.5,66.3,29.3,39.6,19.8,12.1,2.2,7.5,15.3,12.7,56.4,0.5,10.7,25,37.4,26.9
4562,0,F,75+,4.14,4.34,6.6,3.51,17.39,39.56,5.12,17.86,3.72,2.14,23.19,39.33,26.69,17.14,3.35,0.94,3.09,37.64,47.89,24.96,50.54,9.64,7.05,33.72,26.26,54.15,82.52,58.27,46.8,23.74,15.78,8.26,18.54,46.95,22.19,28.36,19.11,11.39,1.7,3.22,8.31,4.23,33.68,3.64,88.96,6.33,3.66,1.05
4563,1,M,45-54,4.8,7.3,9,13.6,37.9,0.1,15.9,11.1,0.1,1.8,26.9,40.1,30,24.2,8,3.5,3.4,40.9,57.3,45.4,69.8,10.5,13.2,32.8,32.7,67,88.3,78,58.3,33.2,25.8,20.5,13.3,59.5,18.4,34.2,20.2,16.6,2.7,6,15.5,4.2,57.1,1.3,33,25.3,32.2,9.6
4641,1,M,45-54,11.1,5.6,6.2,4,18.8,0.1,12,45.2,0.1,5.7,37.6,36.6,12,14.1,2.4,1.4,3.3,46.3,48.2,39.7,59.1,12.6,18.3,49.3,37.6,58.1,82,71,56.7,40.2,27,11.1,19.2,57.3,25.9,31.5,20,13.1,1.5,8.3,7,4.9,36.9,2.2,13.2,23,34.5,29.3
4764,1,M,25-34,31.5,18.2,4.5,9.5,34.6,0,20.6,14.8,4.1,2.9,21.4,38.6,33.1,15.9,6.9,9.2,4.7,48.5,50.3,68.3,81.7,22.8,55,45.1,48.3,68.1,58.7,46,33.1,20.7,15,19,22.8,70.9,35.2,48.7,23.8,14.2,6.5,9.7,28.7,14.2,65.1,0.8,41,25.5,23.4,10.1
4961,0,F,25-34,19.48,31.84,12.91,12.78,45.09,0.07,8.3,4.43,3.98,1.6,6.79,24.2,67.82,26.71,11.77,7.92,5.78,31.05,68.09,57.91,79.36,31.19,30.85,38.68,45.85,64.44,64.17,47.13,31.99,14.26,13.24,29.57,24.71,57.62,31.36,49.15,23.68,17.2,24.47,6.31,45.21,23.17,68.31,0.27,74.75,13.39,9.85,2
4994,1,F,35-44,19.1,13.4,10.2,13.1,46.2,0,10.7,9.2,1.6,1.2,10.5,35.5,52,19.5,9.8,4.1,3.3,56.3,42.7,58.3,77.3,19.3,37.3,39.1,43.9,71.8,81.3,62.1,43.4,28,23.6,21.5,17.1,63.8,30.9,41.7,25.1,17.2,3.8,9.4,27.6,10.4,65.6,0.7,16.4,21.7,43.8,18
5137,1,M,45-54,5.7,7.9,9.6,14.5,40,0.2,11.7,8.2,0.2,1.5,19.5,40.7,37.7,23.3,8.9,2.7,3.2,43.4,55.4,45.4,70.2,9.9,16.4,34,33.4,69.1,88.7,79.8,58.6,34.8,26.8,19,11.5,57.5,16.7,33.9,19.9,16.6,2.3,5.2,16.5,4.1,60.2,0.8,27.5,26.5,36.5,9.5
5225,0,F,75+,0.47,2.13,0.32,0.5,0.82,93.3,0.49,0.4,1.01,0.02,26.23,32.84,8.9,26.39,3.18,1.03,0.79,37.7,8.91,10.18,33.09,1.5,0.74,10.51,10.42,30.02,86.35,56.26,47.33,14.92,9.64,5.49,15.12,36.79,11.85,27.38,5.7,3.23,0.17,0.24,8.76,2.13,31.26,8.84,98.38,1.06,0.45,0.12
5249,1,M,45-54,9.9,13.4,12.6,13.2,43.4,0.2,10,4.4,0.4,1.4,13.3,30.9,54.1,26.8,10.7,5.7,3,48.1,50.3,47.2,64,19.5,18.7,28.6,40.2,69,86.1,64,47,28.7,25.3,25.3,15.9,53.5,23,40.6,21.8,18.8,3.1,5.8,37.5,6.5,62.3,1.2,35.3,20.3,37.2,7.3
5680,0,M,35-44,10,10.02,6.28,4.11,17.75,2.82,10.41,30.87,5.68,9.88,28.48,39.01,18.87,17.52,3.07,0.95,3.14,41.14,55.95,41.97,64.13,19.38,15.61,42.21,32.31,60.53,69.16,52.41,39.49,25.27,16.24,11.69,24.95,55.69,26.85,35.32,17.07,9.16,3.63,4.58,11.17,10.7,40.61,1,78.34,12.1,8.1,1.47
5753,0,M,35-44,21.21,27.33,12,4.26,21.89,0.43,6.92,22.76,8.41,9.91,12.1,33.81,48.53,15.55,4.89,4.75,4.85,56.78,39.74,50.54,60.18,39.19,29.28,50.81,44.28,64.7,45.14,37.52,31.28,15.59,10.7,15.28,23.7,48.23,38.83,45.02,24.61,14.71,7.2,6.02,38.53,16.23,47.77,0.84,45.85,25.27,22.77,6.11
5784,0,M,18-24,9.98,7.33,9.79,4.03,24.11,5.27,5.56,23.37,8.24,5.03,16.06,40.39,37.88,18,3.43,0.88,4.12,38.76,56.11,41.36,61.17,14.71,16.13,40.9,32.48,64.12,77.69,56.59,43.36,22.57,18.24,11.9,20.58,52.58,24.28,37.19,24.83,13.11,2.8,4.67,14.43,5.44,41.46,1.79,71.18,13.85,11.81,3.16
6004,0,M,55-64,1.92,5.26,6.07,10.27,27.3,6.46,12.78,11.95,0.38,1.66,27.04,40.95,25.01,29.05,7.68,2.18,2.41,45.76,49.08,29.18,59.37,6.92,4.93,21,24.32,61.39,87.66,69.85,54.94,27.79,22.29,14.32,15.89,51.14,13.74,30.02,18.39,12.79,1.17,4.88,14.86,1.94,48.13,2.91,77.3,12.13,8.8,1.77
6150,0,F,18-24,8.88,8.37,12.88,5.54,35.25,10.31,2.78,12.09,11.87,2.69,7.34,32.69,57.99,20.63,3.43,1.15,5.25,43.96,54.75,40.88,60.09,18.4,13.78,38.93,28.93,67.16,80.17,60.2,37.77,22.6,18.45,15.29,18.41,47.27,21.4,36.51,26.75,15.9,8.88,6.63,17.75,6.28,46.88,0.84,60.42,13.51,19.78,6.3
6195,0,O,55-64,2.62,6.62,7.41,5.53,23.45,13.7,5.1,1.88,2.8,0.36,9.45,29.81,59.3,31.19,9.59,1.89,4.91,40.3,58.22,34.7,71.59,7.49,5.27,24.01,24.92,60.18,88.07,78.48,54.94,26.13,24.98,21.54,13.46,46.9,13.94,31.96,21.04,12.56,6.61,3.44,20.22,2.13,58.76,0.82,62.94,15.57,16.96,4.53
6569,1,F,35-44,14.5,17.9,8.5,14.1,42.7,0,14.9,9.6,1.4,1.4,13.2,36.9,47.5,22.5,9.8,5.4,3.7,42.2,57.1,58.5,77,19.9,28.5,40.3,41.5,71.9,73.3,55.4,40.3,25.9,22.1,24.7,19.6,67.1,28.1,42.1,23.7,16.5,6.4,9.3,28.5,13.2,65.3,0.6,21.2,21.5,43.4,13.9
6601,0,F,75+,1.71,5.87,1.77,2.96,7.32,33.9,4.01,1.23,6.66,1.49,18.36,34.15,39.9,30.03,8.83,2.41,2.61,36.65,30.49,20.04,49.1,4.8,3.22,18.98,18.63,43.45,80.8,56.66,43.73,7.6,10.19,19.31,16.17,50.13,17.06,33.21,12.91,7.07,1.37,1.31,19.12,3.09,53.13,4.79,96.51,1.57,1.55,0.38
6683,0,F,65-74,1.61,4.77,4.68,4.76,13.02,50.82,5.1,3.96,0.87,0.16,25.64,39.33,25.81,28.91,5.66,1.03,3.11,43.43,47.77,24.38,59.78,5.38,2.84,18.63,20.49,55.98,88.43,69.19,56.72,21.25,16.86,12.67,17.34,43.02,13.69,30.35,14.4,12.41,3.31,1.12,15.08,2.17,45.16,3.97,81.28,8.66,7.76,2.3
6685,1,F,45-54,8.2,6.7,3.1,6.7,22.8,0,24.3,20.2,0.1,5.7,38.8,27.7,20.2,19.7,6.8,5.8,2,66.2,21.6,37.1,64.1,8.1,18.2,29.3,35.8,55.1,84.1,54.6,51.5,28.4,21.5,14.9,17.7,57.4,23.5,33.1,16.3,11.2,0.9,12.8,17,4.8,52.3,2.2,32.2,22.8,28.2,16.7
