Customer ID,Gender,Age,"TikTok user, at least weekly",Prefer to eat vegan food,Occupation: Director / Managerial,Occupation: Office Worker,Occupation: Professional,Occupation: Retired,Occupation: Service Sector,Occupation: Skilled / Manual Worker,Occupation: Student,Occupation: Unemployed,Highest qualification achieved: GCSE or equivalent,Highest qualification achieved: A-level or equivalent,Highest qualification achieved: university degree or higher,Interests : antiques or fine art,Interests : meditation / mindfulness,Magazines read : celebrity,Has recently switched current account,Internet: moderate user,Internet: frequent user,"Uses Netflix, at least once a week","Facebook user, at least weekly","LinkedIn user, at least weekly","Snapchat user, at least weekly",I love to buy new gadgets and appliances,If an advert on the Internet looks interesting I will click on it,Watches catch-up TV / VoD with ads at least once a week,Watches ITV,Watches Channel 4,Watches Channel 5,Watches Sky 1,Watches Sky Atlantic,Takes own re-usable cup to a coffee shop/cafe,I prefer not to shop in major high street chains,I look for the lowest possible prices when I go shopping,I think more favourably of companies that sponsor events,I only buy products from a company whose ethics I agree with,Has bought something after seeing an ad on the internet in the past 12 months,Has bought something after seeing an email ad in the past 12 months,Has a current account with a neo challenger bank,Car shares journey to work,Interests : vegetarian products,Celebrities influence my purchase decisions,Tends to use a refillable water bottle most days,Internet: light user,Children at home : 0,Children at home : 1,Children at home : 2,Children at home : 3+
209647,M,18-24,12.21,8.98,6.97,3.99,25.78,0.55,9.67,28.16,5.77,9.15,23.45,45.09,23.81,14.65,3.53,1.82,3.78,41.25,52.78,49.32,65.1,19.58,23.12,47.64,34.8,63.79,72.75,51.92,39.4,25.79,19.32,14.13,19.98,60.12,27.92,37.49,23.9,12.3,2.75,8.87,13.36,8.32,45.2,1.89,67.21,13.84,11.35,7.61
906654,M,18-24,56.32,23.68,5.79,4.9,22.64,0.02,14.21,10.22,35.47,5.21,8.18,62.08,28.08,9.17,4.45,2.32,6.61,32.09,67.68,72.6,64.81,40.74,85.95,64.89,53.27,66.01,63.11,50.1,24.94,20,13.89,19.99,20.88,68.6,46.56,53.16,30.96,14.74,15.49,5.75,24.46,33.05,62.09,0.19,54.98,29.52,13.03,2.47
264058,F,65-74,10.76,6.95,5.81,2.68,18.84,3.45,8.61,23.27,11.39,8.57,23.97,39.91,24,13.57,2.49,1.19,2.45,53.61,36.25,40.92,60.3,12.91,17.87,44.58,33.43,61.61,77.75,61.87,44.93,28.72,18.25,11.71,20.25,55.19,25.26,35.64,21.38,12.36,1.69,5.35,10.31,6.61,39.85,2.43,95.58,3.14,1.09,0.19
25111,F,25-34,29.94,12.32,7.66,5.22,36.12,0.04,13,21.5,8.51,2.94,14.62,49.24,34.27,10.23,4.96,1.56,8.7,30.44,69.32,66.8,79.3,27.22,49.42,63.33,43.08,65.46,71.16,58.46,39.59,32.06,21.48,18.95,17.37,68.3,35.29,43.67,31.14,15.46,16.35,10.89,14.32,13.19,56.66,0.16,25.84,29.13,33.19,11.84
596157,M,45-54,5.22,11.16,9.75,6.82,31.58,2.42,4.41,1.63,7.79,0.43,6.75,32.75,59.75,26.33,9.77,3.04,3.9,40.9,57.96,48.5,71.5,12.13,17.72,30.37,34.51,64.99,83.71,73.92,47.69,23.43,21.22,27.41,13.31,53.23,19.82,32.51,23.09,17.18,6.95,4.01,27.32,4.1,63.41,0.79,58.3,12.23,21.01,8.45
42025,M,65-74,0.94,3.41,1.57,2.44,5.18,82.51,1.77,1.19,0.95,0.04,17.84,40.03,31.43,30.33,4.35,1.17,2.02,61.72,29.52,17.43,55.7,2.89,1.52,14.56,18.5,53.87,88.47,69.49,51.18,17.43,15.79,11.68,14.17,38.76,11.85,28.61,14.55,10.53,0.83,0.59,14.67,0.98,43.96,3.61,92.17,4.52,2.88,0.43
149666,F,35-44,13.96,11.23,9.88,4.77,24.91,0.96,7.41,26.79,8.49,5.32,21.35,48.21,24.2,15.28,3.63,1.06,4.09,41.09,57.68,47.87,67.35,21.93,23.74,49.29,35.8,62.73,71.48,63.81,43.28,31.62,21.43,12.06,18.52,59.79,29.1,36.96,20.41,9.63,4.9,6.09,10.75,9.35,45.82,0.5,38.27,26.44,24.93,10.36
129831,O,55-64,3.11,6.94,9.55,10.21,34.53,3.42,8.71,8.82,0.82,0.71,12.14,43.88,41.35,26.65,8.17,1.75,2.62,40.48,54.11,36,66.32,7.65,10.12,28.39,28.92,63.25,86.96,79.29,56.95,32.69,27,16.34,15.35,52.44,16.42,33.6,21.07,16.63,2.89,2.87,16.5,2.57,55.67,3.28,80.77,9.74,7.9,1.59
985661,O,25-34,29.18,23.04,8.98,12.01,43.16,0.01,14.52,5.47,6.3,1.61,7.31,29.9,61.65,19.12,14.23,8.7,5.06,37.76,60.82,67.77,78.09,29.21,52.89,47.55,51.68,66.45,65.01,45.35,31.49,16.2,14.29,29.44,20.4,64.75,37.3,50.06,28.25,17.95,21.95,10.43,39.42,17.5,72.18,0.49,65.01,20.02,12.41,2.56
576949,F,45-54,4.85,8.3,7.66,12.01,32.8,0.09,19.6,11.41,0.2,2.52,26.21,38.06,31.88,27.27,9.16,3.69,3.23,38.32,60.43,45.68,69.48,11.29,13.13,30.43,31.96,67.08,84.83,73.44,55.2,27.72,22.72,21.85,15.22,60.97,18.41,34.56,19.62,14.61,3.17,4.69,18.39,4.11,57.9,0.92,77.09,12.36,9.24,1.31
348238,O,25-34,11.97,9.38,3.34,11.63,22.31,0.08,18.29,15.2,4.04,3.26,22.26,46.62,22.31,18.01,5.95,4.53,3.85,44.26,51.11,53.11,75.01,10.85,33.84,36.08,39.31,66.89,76.04,55.11,42.92,24.13,18.01,13.75,20.16,64.33,24.26,38.88,18.56,12.44,3.27,6.58,21.14,7.11,57.15,1.73,53.47,21.32,19.84,5.37
604693,M,45-54,3.34,6.42,6.16,7,24.44,9.13,7.26,3.54,2.91,0.77,17.27,38.09,41.01,25.54,7.83,2.56,3.74,42.34,55.26,36.92,67.95,10.3,7.63,25.03,25.77,62.9,86.55,67.81,50.06,22.01,18.26,19.85,14.11,52.26,17.61,35.17,19.22,13.98,5.89,3.45,17.45,3.43,54.21,1.45,59.81,13.92,21.18,5.08
974759,F,55-64,3.36,4.67,8.13,3.98,23.04,12.78,7.55,26.72,0.66,3.66,29.27,42.03,19.37,20.25,4,0.57,2.81,47.82,46.31,29.08,49.97,10.83,4.9,34.27,24.94,62.47,86.87,71.88,57.61,39.24,27.79,10.73,14.87,46.75,15.59,28.43,21.39,11.09,1.38,3.42,7.13,2.24,35.02,3.7,74.67,12.16,11.22,1.95
680581,F,25-34,28.3,22.17,3.92,10.6,30.16,0.01,25.48,11.97,4.41,2.6,21.69,39.66,31.93,15.45,7.78,7.65,3.59,63.31,35.23,67.5,82.92,20.39,53.04,45.42,48.32,71.22,54.23,47.43,35.53,24.62,18.61,13.96,22.15,70.95,35.5,47.1,24.44,10.84,5.21,12.45,28.5,16.63,63.65,1.13,34.77,29.87,23.25,12.11
124386,M,55-64,4.77,11.06,7.19,8.89,32.64,0.97,7.43,3.56,4.14,1.06,6.81,34.92,56.46,28.45,9.19,3.21,2.24,47.97,49.37,42.85,69.5,13.01,14.87,28.04,28.16,67.05,81.8,74.24,44.26,24.63,22.44,23.93,15.55,54.4,17.57,37,20.24,12.47,6.39,3.43,20.48,5.13,62.68,1.68,73.41,11.85,11.64,3.09
262382,O,55-64,2.26,5.03,7.33,12.52,26.62,10.67,10.03,9.72,0.57,1.21,21.12,41.43,30.66,29.52,6.26,1.59,2.45,45.78,48.69,28.94,59.23,5.94,6.22,20.02,25.56,61.41,89.36,77.01,57.32,25.84,21.48,12.43,17.87,50.36,12.57,27.75,17.37,13.35,1.19,2.9,15.07,1.89,46.54,3.32,21.14,46.45,28.97,3.44
878841,M,25-34,26.4,28.34,16.93,5.82,36.06,0.24,6.76,20.65,5.22,5.62,8.13,25.37,63.95,21.97,5.56,2.43,6.08,24.11,75.16,53.36,66.27,42.13,30.98,51.72,45.13,66.64,57.59,37.73,27.18,14.45,11.72,23.8,34.9,56.26,35.96,46.77,23.45,15.52,19.4,5.51,30.44,30.63,55.81,0.27,73.29,12.69,11.49,2.53
637509,M,18-24,9.8,7.91,8.74,4.52,26.17,4.4,6.51,21.53,7.83,5.55,18.39,42.41,33.18,16.53,3.23,0.91,3.9,38.23,58.43,44.15,62.56,18.97,17.86,44.63,30.76,65.51,80.29,63.71,45.15,31.11,20.88,12.71,17.58,54.03,22.94,35.8,22.31,14.24,3.89,5.4,11.96,6.74,44.46,1.31,61.15,16.37,17.82,4.65
440217,M,55-64,3.96,4.74,6.14,2.07,9.02,51.09,2.84,16.21,3.92,1.33,19.52,43.29,22.68,22.12,3.03,0.4,2.53,38.04,58.19,29.81,51.65,14.09,5.02,29.93,22.25,60.93,79.46,50.98,47.14,16.94,15.78,8.03,24.27,46.9,18.85,33.09,20.65,10.8,3.54,1.49,11.66,2.82,32.83,2.18,56.25,25.43,16.61,1.7
732448,F,75+,6.47,8.1,13.66,2.51,21.46,22.05,2.95,11.62,15.8,1.75,9.63,36.03,51.37,22.42,4.89,0.53,3.6,26.13,65.87,36.35,58.15,13.86,11.92,38.59,26.62,57.91,76.58,58.6,44.14,15.59,14.42,15.16,23.65,48.46,22.54,35.4,22.7,14.59,5.5,2.29,18.05,4.7,45.68,1.63,88.31,5.96,4.52,1.22
158605,O,55-64,8.56,5.73,5.76,3.63,18.39,3.98,7.8,30.3,5.23,8.67,28.61,42.37,15.36,12.55,2.72,1.49,2.72,48.67,41.33,40.02,59.14,11.43,16.25,44.58,34.96,59.5,80.59,63.65,48.42,33.65,20.3,8.06,17.51,54.48,26.57,33.36,20.52,10.96,1.55,5.7,6.54,6.81,36.33,2.32,56.73,19.66,18.16,5.45
708217,F,45-54,7.43,7.55,4.18,9.59,22.83,0.74,16.52,14.22,1.61,2.62,28.35,41.28,20.47,18.23,5.27,3.4,2.92,48.51,45.25,40.52,70.06,9.61,18.22,30.52,34.43,62.87,83.01,66.11,51.02,26.95,17.37,12.27,16.67,57.82,21.55,36.68,17.95,11.91,2.59,4.74,14.78,6.15,50.39,1.99,66.25,18.06,12.01,3.67
978105,F,55-64,2.86,5.28,17.11,4.83,37.34,9.49,3.61,19.31,0.56,2.87,14.39,35.7,47.11,25.45,4.4,0.84,2.79,47.47,49.93,29.56,48.87,11.77,4.8,32.08,24.55,61.03,84.31,73.75,49.49,28.7,23.76,16.36,17.94,43.32,17.19,28.79,25.38,15.73,2.07,5.54,13.54,1.9,41.02,1.57,32.47,24.87,34.84,7.82
803342,F,75+,11.3,12.46,12.14,3.2,23.91,5.5,4.89,20.33,11.13,5.61,16.68,39.82,37.69,17.09,3,0.84,4.74,38.41,56.59,44.22,62,21.44,19.11,45.38,31.62,62.7,75.58,64.53,45.93,23.66,18.57,11.74,22.51,54.75,27.87,36.3,23.96,14.92,3.52,4.61,15.33,9.85,42.47,1.72,69.42,14.32,13.33,2.93
66420,M,65-74,0.85,2.97,1.27,1.58,3.45,84.44,2.05,3.37,0.73,0.12,27.34,37.05,12.46,29.12,4.32,1.82,1.72,46.25,37.12,15.26,50.55,3.18,1.25,16.61,16.42,41.03,82.82,63.06,53.27,13.65,11.07,11.13,17.64,41.27,12.6,28.54,11.08,7.73,1.14,0.42,12.19,0.97,42.88,2.99,97.38,1.87,0.66,0.09
417871,O,45-54,23.64,19.03,16.91,4.7,44.77,0.07,8.79,13.89,1.68,3.83,9.99,20.41,67.71,19.27,7.4,3.51,4.85,45.06,53.41,55.15,59.79,36.96,31.86,49.74,44.92,67.68,67.08,46.03,35.56,24.02,20.41,24.73,22.5,57.43,36.04,43.25,30.24,17.65,10.18,13.64,29.19,12.18,53.99,0.86,35.19,22.57,30.51,11.73
574510,M,55-64,5.49,8.48,8.89,2.64,24.39,3.93,6.6,25.5,2.33,10.65,26.89,37.73,25.77,17.71,3.21,1.7,3.03,47.64,48.63,38.28,57.36,16.57,9.08,41.45,28,62.33,77.44,63.12,49.73,26.61,19.89,14.16,19.62,53.58,21.81,33.03,22.75,12.82,4.12,4.76,11.6,5.64,39.82,1.29,65.76,15.6,15.92,2.71
519766,F,55-64,6.35,8.57,3.15,8.95,19.4,2.12,13.05,10.3,3.03,2.01,26.11,42.18,21.45,20.03,4.65,2.82,3.01,46.55,47.25,40.32,67.97,8.41,14.86,30.17,31.79,64.9,84.69,60.15,48.9,25.89,18.01,12.04,17.13,57.02,19.37,36.63,18.12,12.79,2.37,4.25,14.38,8.19,50.15,2.63,66.42,15.85,13.22,4.51
616026,M,35-44,8.85,15.96,11.13,8.39,24.88,0.09,13.32,15.15,3.76,1.27,8.38,39.75,47.72,34.67,7.94,1.66,3.75,37.39,60.35,51.58,75.73,11.78,28.53,28.64,37.29,67.71,66.89,50.06,35.24,11.55,16.61,19.82,38.58,58.32,23.43,40.34,23.19,17.28,3.45,3.23,41.41,7.65,62.43,1.51,48.3,23.87,21.59,6.23
895882,F,45-54,21.87,34.31,18.56,4.84,39.37,0.46,4.23,11.11,4.94,4.46,7.27,27.23,64.17,17.2,5.36,4.06,5.17,46.65,51.98,53.26,58.36,38.11,29.32,55.45,42.56,69.11,67.18,47.54,39.73,24.92,20.02,20.53,20.75,51.59,32.65,43.29,28.5,19.54,8.93,8.47,35.12,26.98,53.03,0.74,15.69,13.58,44.54,26.2
579815,F,18-24,5.21,4.69,5.37,2.85,13.27,36.44,4.77,18.63,9.76,2.78,17.39,49.46,19.69,16.96,2.31,0.69,4.04,44.21,48.53,35.61,60.66,10.7,11.69,36.94,29.07,58.6,79.3,68.41,43.6,28.48,18.8,9.06,19.16,50.01,22.34,33.94,20.12,11.73,3.75,3.08,7.88,4.14,37.3,2.88,35.39,26.84,25.83,11.95
664418,M,25-34,9.65,10.37,8.67,4.48,26.46,3.97,7.3,24.3,7.68,6.37,20.78,39.39,33.48,17.35,3.07,1.42,5.97,37.48,61.33,43.96,72.75,17.45,14.48,44.19,33.18,57.37,75.29,59.42,42.88,25.97,17.42,14.18,20.81,56.71,26.85,35.1,24.55,14.06,8.6,7.03,13.89,10.01,44.61,0.57,57.27,20.06,18.46,4.21
642666,M,45-54,5.47,6.99,8.45,3.68,17.01,26.45,3.96,28.5,1.99,4.27,25.66,42.5,16.91,15.93,2.45,0.95,3.14,56.17,38.54,33.07,56.82,12.29,8.44,35.64,28.77,59.55,77.01,63,48.76,27.31,17.71,6.63,18.89,48.59,22.86,30.99,19.71,11.35,1.37,4.73,11.07,4.87,33.22,1.83,43.37,24.34,22.89,9.41
237902,M,55-64,1.77,5.21,1.73,3.74,12.75,2.09,17.49,16.44,0.37,3.91,31.72,34.05,10.14,24.18,5.14,2.48,1.58,52.43,33.22,24.9,57.86,4.61,6.01,23.27,25.42,57.09,85.48,68.29,55.2,31.53,22.8,12.64,20.2,50.95,15.03,28.47,15.94,10.52,1.03,3.05,8.88,2.84,44,5.27,79.34,13.52,6.02,1.11
714512,O,55-64,2.25,8.47,5.76,7.94,17,5.91,13.62,16.99,0.38,2.07,33.96,39.2,12.98,28.26,6.83,1.52,2.26,47.68,43.22,23.27,60.13,5.89,5.04,21.53,25.1,60.23,78.06,67.29,57.84,22.68,19.31,9.24,20.63,50.63,13.74,26.5,15.92,10.65,0.84,2.32,17.81,2.42,42.86,5,97.03,2.04,0.77,0.16
637632,F,18-24,6.17,6.4,2.97,7.3,14.97,1.74,11.13,8.52,4.78,1.06,23.58,47.96,18.79,19.63,6.44,2.02,2.59,51.72,42.06,41.53,71.28,7.76,25.31,27.94,32.5,62.55,84.66,62.28,49.42,26.79,19.72,11.24,14.86,58.46,29.48,37.02,17.93,10.87,1.55,2.97,15.29,4.32,53.71,2.14,61.88,14.03,14.84,9.25
295479,F,65-74,3.09,7.48,10,8.19,29.52,7.85,5.68,4.55,1.99,0.6,14.28,37.2,46.21,27.64,8.21,2.21,3.04,37.71,58.84,36.02,66.15,10.82,7.09,26.3,24.4,64.38,84.66,71.9,52.52,22.2,19.15,19.73,15.11,50.95,15.56,35.07,19.49,14.41,3.79,3.38,19.89,3.01,55.14,1.75,79.54,8.37,9.08,3.01
144288,M,45-54,6.98,8.83,6.78,10.12,35.69,0.24,17.06,7.19,1,1.36,20.98,38.12,37.93,22.25,9.23,2.86,3.79,34.74,64.35,44.43,72.16,9.99,15.32,31.5,32.24,66.65,82.82,68.39,50.77,27.1,22.58,22.63,16.67,59.99,18.71,35.03,22.39,15.2,4.36,6.51,21.36,4.31,59.75,0.66,39.92,23.4,31.31,5.36
518238,F,25-34,18.39,13.16,10.27,5.17,32.56,0.08,10.09,27.27,3.07,5.13,19.29,45,30.86,14.16,3.64,2.07,4.2,42.39,53.52,57.36,68.61,25.49,32.6,53.82,39.4,67.78,70.54,59.71,40.36,29.85,22.18,15.65,19.71,64.06,31.62,40.09,26.28,14.83,3.77,10.5,15.55,11.56,49.3,1.8,41.07,20.04,28.42,10.47
755266,F,65-74,1.04,2.68,3.62,1.45,7.04,77.8,1.57,7.32,0.72,0.08,22.73,36.45,26.01,22.23,2.21,0.55,2.36,49.95,38.77,17.11,39.99,4.4,1.28,24.19,18.85,49.27,87.38,66.93,53.03,26.01,16.91,7.29,17.04,35.25,16.18,26.23,16.77,11.54,0.6,0.94,7.3,1.32,28.76,4.37,96.45,2.41,0.97,0.16
792658,M,25-34,31.35,21.76,4.93,9.35,33.66,0.01,19.41,13.26,5.27,3.04,17.11,31.23,45.78,14.95,7.16,8.7,4.77,60.3,38.28,69.09,82.28,21.87,58.56,47.66,48.99,73.21,64.25,50.22,35.54,21.99,16.35,16.39,21.03,70.15,36.72,47.46,23.22,13.31,7.46,20.41,25.2,20.3,65.59,0.63,34.27,23.64,26.63,15.46
862006,M,35-44,15.22,19.64,8.1,2.93,19.52,0.31,8.86,40.57,1.12,9.39,26.22,19.92,42.9,15.68,2.16,3.2,3.94,73.19,21.54,48.8,64.07,20.68,25.36,54.74,37.91,64.81,66.42,55.46,47.08,30.01,19.76,9.49,23.19,58.37,30.44,36.11,22.89,14.6,2.78,34.5,13.75,20.07,40.11,0.93,27.83,27.15,31.71,13.32
777757,F,75+,4.45,7.76,7.15,7.73,27.16,5.04,7.66,3.66,4.1,0.59,15.52,42.41,39.64,23.5,7.85,2.24,3.09,38.69,57.96,46.06,68.76,13.11,14.5,29.34,31.48,63.84,86.71,73.27,53.21,28.84,22.15,19.49,13.15,56.41,18.94,32.37,20.02,15.08,3.62,3.22,17.97,3.67,56.44,1.91,77.05,8.99,10.43,3.54
924712,F,55-64,3.13,4.8,10.39,3.64,24.95,13.01,5.46,28.96,0.87,3.7,23.57,39.18,29.99,18.86,4.1,0.89,4.32,34.43,61.36,29.84,48.02,7.55,5.82,36.27,29.51,59.9,83.86,73.9,56.76,35.14,23.91,9.01,17.11,45.29,18.6,27.06,23.39,13.47,1.47,4.16,7.55,2.2,34.06,1.35,75.37,14.9,8.39,1.33
666849,M,25-34,24.89,17.61,9.81,9.23,50.58,0.01,12.97,4.67,4.67,0.93,7.95,29.48,61.59,18.74,10.58,6.46,7.33,30.61,69.03,70.04,80.8,24.51,50.84,48.73,44.86,73.74,72.61,64.53,38.58,24.48,20.15,32.03,18.26,69.1,31.42,46.82,29.12,19.78,15.1,11.01,28.92,11.4,72.68,0.29,39.05,26.88,25.11,8.95
199912,M,35-44,13.87,13.81,8.89,10.97,37.89,0.05,15.88,7.68,2.65,1.44,16.24,39.83,41.45,20.8,9.89,3.06,2.87,45.46,49.84,56.75,75.29,17.06,30.7,39.66,37.01,68.64,79.08,62.9,47.12,22.45,20.8,21.33,18.79,62.7,25.66,41.97,22.7,15.66,3.8,6.14,23.86,9.85,64.03,2.88,80.42,8.75,7.87,2.96
165078,M,18-24,6.18,7.3,5.92,1.88,11.63,18.17,2.21,4.51,52.35,0.51,6.88,49.55,36.95,19.23,5.11,0.83,2.19,59.92,34.14,36.88,59.67,20.95,8.68,35.09,27.47,60.82,67.71,59.04,36.78,23.42,19.48,12.24,18.6,52.58,24.73,35.96,21.67,12.7,4.12,2.47,17.67,1.88,49.54,3.93,69.84,10.55,14.47,5.14
53402,M,65-74,1.39,2.54,1.9,1.14,4.49,78.77,2.07,10.25,0.36,0.21,29.6,34.03,7.32,18.69,1.72,0.47,1.65,52.04,26.78,14.25,39.25,3.96,1.46,25.52,17.14,38.03,84.82,61.24,53.38,28.49,16.18,6.81,16.87,36.49,15.82,26.23,12.46,7.93,0.44,0.76,5.89,1.36,27.35,3.32,85.55,7.81,4.63,2.01
246136,M,55-64,1.94,5.95,5.63,10.1,29.83,6.44,12.88,8.28,0.51,1.66,22.61,39.08,31.84,31.47,8.98,2.63,2.27,47.33,49.07,29.48,60.18,6.86,5,17.04,24.78,62.1,86.77,61.79,50.08,24.55,20.26,16.28,17.64,49.33,13.74,29.92,19.02,13.1,1.22,3.22,21.54,1.99,49.32,2.49,43.63,20.66,28.25,7.46
284274,F,75+,4.71,6.71,1.8,4.05,10.55,3.96,8.4,5.49,6.58,2.69,26.27,39.66,17.33,18.92,4.95,3.44,2.07,53.51,27.98,32.84,61.02,5.7,10.99,24.97,28.14,56.31,80.64,54.2,45.22,18.02,14.36,11.47,17.67,55.41,18.54,35.03,14.38,8.65,1.13,2.58,16.06,5.02,48.5,3.61,81.11,9,7.86,2.03
446550,F,75+,1.54,5.4,2.2,2.83,7.48,38.93,3.22,3.14,6.35,1.8,25.16,41.13,18,23.06,6.09,2.52,1.9,37.65,18.23,18.51,41.37,3.6,3,22.31,15.61,37.41,78.29,57.09,47.26,10.63,11.56,11.44,16.9,47.01,15.33,31.41,9.2,5.63,1.03,1.4,15.24,2.94,48.85,5.86,95.03,3.13,1.37,0.47
264206,M,18-24,7.94,8.26,9.72,2.89,17.37,7.46,6.86,21.76,9.97,6.22,21.96,39.01,28.78,20.92,3.24,0.7,4.45,35.48,62.27,41.48,60.54,20.7,11.39,39.46,27.05,62.8,74.22,61.95,43.96,21.04,17.11,13.41,24.26,51.62,23.57,37.45,20.74,12.08,7.31,3.81,12.97,5.86,41.82,1.4,61.54,16.13,18.73,3.6
924434,F,45-54,7.25,11.85,13.54,5.02,32.38,0.22,8.54,31.47,0.15,4.01,27.86,39.16,28.13,19.58,3.83,1.8,3.19,40.68,56.65,45.32,58.36,17.99,13.09,45.22,32.31,65.67,74.96,68.41,51.75,33.76,25.25,13.95,19.03,58.61,20.98,31.22,24.66,16.71,1.86,7.4,15.05,6.71,42.08,1.82,34.08,24.68,32.49,8.76
